ma,cons_bars,cons_range,drop_thresh,take_profit,stop_loss,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,sl_rate
25,5,3.0,3.0,3.0,5.0,311,65.59485530546624,81.6218478446073,0.2624496715260685,39.00000000000009,1.153893684181571,34.08360128617363
25,5,2.0,3.0,7.0,3.0,197,34.01015228426396,81.62184784460726,0.414324100734047,81.00000000000004,1.2107032815104797,65.48223350253807
100,5,5.0,3.0,3.0,5.0,163,68.71165644171779,80.99999999999994,0.49693251533742294,27.000000000000107,1.317647058823529,31.28834355828221
100,3,5.0,5.0,10.0,5.0,59,42.3728813559322,80.00000000000007,1.3559322033898318,30.00000000000005,1.4705882352941178,57.6271186440678
100,5,3.0,3.0,5.0,3.0,136,44.85294117647059,79.99999999999997,0.5882352941176469,19.000000000000036,1.3555555555555552,55.14705882352941
25,5,2.0,3.0,7.0,2.0,222,26.126126126126124,79.62184784460733,0.35865697227300597,80.00000000000007,1.2439558141952416,73.42342342342343
25,3,5.0,3.0,5.0,5.0,329,52.27963525835866,79.62184784460719,0.24201169557631363,90.00000000000011,1.1020298269815636,47.41641337386018
25,3,3.0,3.0,10.0,3.0,304,25.0,78.62184784460732,0.25862449948883987,116.00000000000011,1.1153865112873138,74.67105263157895
50,3,5.0,3.0,3.0,5.0,270,65.92592592592592,78.62184784460722,0.2911920290541008,34.00000000000003,1.1726517784669177,33.7037037037037
25,5,3.0,3.0,7.0,5.0,232,44.396551724137936,78.45702412441315,0.33817682812247046,118.00000000000006,1.1221039324529234,55.172413793103445
100,7,2.0,3.0,7.0,5.0,54,53.70370370370371,78.00000000000009,1.444444444444446,30.00000000000002,1.6240000000000003,46.2962962962963
100,7,5.0,3.0,5.0,2.0,178,34.831460674157306,77.99999999999997,0.4382022471910111,31.000000000000036,1.3362068965517238,65.1685393258427
25,3,2.0,3.0,7.0,2.0,313,24.920127795527154,77.6218478446073,0.24799312410417668,87.0000000000001,1.1657247407621498,74.76038338658148
25,7,5.0,3.0,5.0,3.0,381,39.89501312335958,75.6218478446073,0.19848254027455986,75.00000000000006,1.110497168278155,59.84251968503938
50,7,5.0,3.0,3.0,5.0,245,66.12244897959184,75.62184784460723,0.30866060344737645,37.00000000000004,1.1842735716982622,33.46938775510204
50,3,5.0,5.0,10.0,3.0,105,28.57142857142857,75.00000000000013,0.7142857142857155,24.000000000000014,1.3333333333333335,71.42857142857143
50,3,5.0,5.0,10.0,5.0,87,39.08045977011494,75.0000000000001,0.8620689655172425,40.00000000000003,1.2830188679245285,60.91954022988506
100,5,3.0,3.0,5.0,2.0,148,35.810810810810814,74.99999999999999,0.5067567567567567,32.00000000000003,1.3947368421052626,64.1891891891892
100,5,5.0,3.0,3.0,3.0,185,56.75675675675676,74.99999999999996,0.40540540540540515,24.0,1.3124999999999996,43.24324324324324
100,7,3.0,3.0,5.0,5.0,103,57.28155339805825,74.99999999999991,0.7281553398058244,45.00000000000007,1.3409090909090902,42.71844660194174
25,5,5.0,3.0,10.0,3.0,327,24.770642201834864,74.62184784460737,0.22820136955537423,118.00000000000006,1.1014741159033494,74.92354740061162
50,5,5.0,3.0,5.0,5.0,232,53.01724137931034,74.62184784460719,0.32164589588192755,65.00000000000011,1.1380919038768773,46.55172413793103
50,3,3.0,3.0,5.0,5.0,222,53.153153153153156,74.62184784460716,0.3361344497504827,85.0000000000002,1.1447904757555722,46.3963963963964
50,5,2.0,3.0,10.0,2.0,132,21.21212121212121,73.62184784460734,0.5577412715500556,22.00000000000003,1.3567327601090913,78.03030303030303
25,7,5.0,3.0,3.0,5.0,351,64.95726495726495,73.6218478446073,0.20974885425814047,39.000000000000036,1.1206167808998908,34.75783475783476
100,7,3.0,3.0,7.0,2.0,112,29.464285714285715,72.99999999999999,0.6517857142857142,36.00000000000005,1.4620253164556958,70.53571428571429
25,7,5.0,3.0,10.0,5.0,214,35.51401869158878,72.45702412441318,0.33858422488043544,155.0000000000001,1.1053854474073261,64.01869158878505
100,7,3.0,3.0,7.0,3.0,106,36.79245283018868,72.00000000000003,0.6792452830188682,40.00000000000004,1.3582089552238803,63.20754716981132
50,7,5.0,3.0,3.0,3.0,289,53.979238754325266,71.62184784460726,0.24782646313012893,30.000000000000114,1.180690705214573,45.674740484429066
25,3,5.0,3.0,5.0,2.0,511,30.528375733855185,71.62184784460715,0.1401601719072547,60.00000000000008,1.1011067995627508,69.27592954990214
100,3,5.0,3.0,3.0,2.0,217,46.54377880184332,71.0,0.3271889400921659,20.000000000000036,1.3060344827586206,53.45622119815668
25,7,5.0,3.0,7.0,5.0,260,43.84615384615385,70.45702412441312,0.27098855432466584,133.0000000000002,1.0968424223182405,55.769230769230774
25,7,5.0,5.0,5.0,5.0,128,55.46875,70.00000000000007,0.5468750000000006,40.00000000000004,1.2456140350877194,44.53125
