ma,cons_bars,cons_range,drop_thresh,tp,sl,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor
48,12,1.0,1.5,2.0,2.0,107,50.467289719626166,1.9999999999999927,0.01869158878504666,16.00000000000004,1.0188679245283017
100,12,3.0,3.0,2.0,1.0,67,34.32835820895522,1.9999999999999898,0.029850746268656563,9.999999999999986,1.0454545454545452
100,12,2.0,3.0,3.0,2.0,14,42.857142857142854,1.9999999999999867,0.1428571428571419,6.000000000000032,1.124999999999999
48,24,3.0,2.0,2.0,2.0,367,50.13623978201635,1.9999999999999476,0.0054495912806538085,48.00000000000006,1.0054644808743167
24,24,3.0,2.0,2.0,2.0,567,50.08818342151675,1.9999999999999358,0.0035273368606700806,52.00000000000007,1.0035335689045937
48,6,3.0,2.0,5.0,2.0,493,28.600405679513187,1.0000000000000626,0.002028397565923048,75.00000000000006,1.0014204545454548
100,12,1.0,1.5,3.0,1.0,79,25.31645569620253,1.0000000000000595,0.012658227848102018,22.000000000000007,1.016949152542374
100,6,2.0,3.0,3.0,1.0,67,25.37313432835821,1.000000000000043,0.014925373134329002,17.999999999999975,1.020000000000001
100,6,2.0,3.0,2.0,1.5,67,43.28358208955223,0.9999999999999953,0.014925373134328289,14.500000000000014,1.0175438596491226
48,6,1.0,3.0,5.0,2.0,10,30.0,0.9999999999999716,0.09999999999999716,14.000000000000028,1.0714285714285692
48,12,3.0,3.0,5.0,1.5,78,23.076923076923077,1.2101430968414206e-13,1.5514655087710521e-15,34.99999999999997,1.0000000000000013
24,6,1.0,2.0,5.0,1.0,336,16.666666666666664,1.1801670751765414e-13,3.5124020094539924e-16,36.99999999999999,1.0000000000000004
48,12,3.0,1.5,5.0,1.0,996,16.666666666666664,8.43769498715119e-14,8.471581312400793e-17,109.99999999999999,1.0
24,12,1.0,2.0,2.0,2.0,46,50.0,7.149836278586008e-14,1.5543122344752192e-15,16.000000000000007,1.0000000000000016
100,12,2.0,3.0,2.0,1.5,14,42.857142857142854,2.886579864025407e-14,2.061842760018148e-15,4.9999999999999885,1.0000000000000024
24,6,1.0,3.0,3.0,1.0,36,25.0,5.218048215738236e-15,1.4494578377050655e-16,10.000000000000014,1.0000000000000002
48,6,3.0,3.0,3.0,1.0,148,25.0,4.3298697960381105e-15,2.92558770002575e-17,24.000000000000064,1.0000000000000002
48,6,1.0,3.0,2.0,2.0,10,50.0,-1.7763568394002505e-15,-1.7763568394002506e-16,8.00000000000001,0.9999999999999997
100,12,1.0,1.5,2.0,1.5,77,42.857142857142854,-2.1760371282653068e-14,-2.8260222445003984e-16,15.000000000000012,0.9999999999999996
24,6,1.0,3.0,3.0,1.5,36,33.33333333333333,-2.708944180085382e-14,-7.524844944681616e-16,10.500000000000032,0.9999999999999992
100,12,1.0,1.5,5.0,2.0,77,28.57142857142857,-3.019806626980426e-14,-3.921826788286267e-16,22.00000000000001,0.9999999999999997
48,12,3.0,3.0,2.0,1.0,81,33.33333333333333,-4.984901380566953e-14,-6.154199235267843e-16,18.000000000000078,0.9999999999999991
48,24,3.0,1.5,2.0,1.0,1002,33.33333333333333,-1.1746159600534156e-13,-1.1722714172189776e-16,67.99999999999993,0.9999999999999998
48,6,2.0,3.0,2.0,2.0,76,50.0,-1.2168044349891716e-13,-1.6010584670910152e-15,22.000000000000078,0.9999999999999986
100,6,2.0,1.5,3.0,2.0,665,40.0,-1.5121237595394632e-13,-2.2738703150969373e-16,78.00000000000028,0.9999999999999997
24,24,3.0,2.0,2.0,1.5,586,42.83276450511945,-0.4999999999999949,-0.000853242320819104,51.50000000000003,0.9990049751243782
24,12,1.0,2.0,2.0,1.0,46,32.608695652173914,-0.9999999999999224,-0.021739130434780922,14.000000000000005,0.9677419354838734
24,12,2.0,3.0,5.0,1.0,55,16.363636363636363,-0.9999999999999278,-0.01818181818181687,21.000000000000007,0.978260869565219
100,6,2.0,3.0,5.0,1.0,67,16.417910447761194,-0.9999999999999739,-0.01492537313432797,24.0,0.9821428571428575
48,12,3.0,2.0,5.0,2.0,438,28.538812785388128,-0.9999999999999853,-0.0022831050228310167,82.00000000000011,0.9984025559105432
48,6,1.0,3.0,2.0,1.5,10,40.0,-0.9999999999999862,-0.09999999999999862,7.500000000000001,0.8888888888888905
48,6,3.0,3.0,5.0,2.0,137,28.467153284671532,-1.000000000000011,-0.007299270072992782,42.00000000000004,0.9948979591836735
24,24,3.0,2.0,3.0,2.0,538,39.96282527881041,-1.000000000000052,-0.0018587360594796505,83.00000000000014,0.9984520123839008
100,6,3.0,1.5,2.0,1.0,961,33.29864724245578,-1.0000000000000824,-0.0010405827263268287,68.00000000000003,0.9984399375975039
48,12,3.0,2.0,3.0,1.5,514,33.26848249027237,-1.4999999999999085,-0.002918287937743013,52.500000000000064,0.9970845481049565
