ma,tp,sl,half_close,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,half_closed_pct
25,7.0,3.0,1.0,544,75.18382352941177,19.999999999999844,0.03676470588235265,43.50000000000013,1.0493827160493823,75.18382352941177
100,10.0,2.0,1.0,238,69.74789915966386,18.999999999999954,0.07983193277310904,27.000000000000064,1.1319444444444442,69.74789915966386
25,7.0,2.0,2.0,545,51.00917431192661,16.999999999999602,0.031192660550457985,37.0000000000002,1.0318352059925087,51.00917431192661
100,7.0,3.0,1.0,229,78.16593886462883,16.499999999999922,0.07205240174672455,23.000000000000068,1.1099999999999994,78.16593886462883
100,10.0,2.0,2.0,222,53.153153153153156,14.999999999999861,0.06756756756756695,32.00000000000011,1.072115384615384,53.153153153153156
100,7.0,2.0,2.0,224,53.125,10.499999999999838,0.04687499999999928,34.00000000000014,1.0499999999999992,53.125
25,5.0,3.0,3.0,479,49.478079331941544,9.621847844606942,0.020087365020056244,53.50000000000015,1.0133012696277008,49.478079331941544
100,7.0,2.0,1.0,239,69.8744769874477,9.499999999999927,0.03974895397489509,26.00000000000007,1.0659722222222219,69.8744769874477
25,7.0,2.0,1.0,576,66.49305555555556,8.499999999999725,0.014756944444443967,29.00000000000015,1.0220207253886002,66.49305555555556
25,7.0,2.0,3.0,525,39.80952380952381,1.6218478446068323,0.0030892339897272995,57.50000000000026,1.0025728173463204,39.80952380952381
25,7.0,3.0,2.0,495,60.4040404040404,-2.000000000000279,-0.004040404040404604,70.00000000000017,0.9965986394557818,60.4040404040404
25,7.0,5.0,3.0,374,63.101604278074866,-5.878152155393093,-0.015716984372708805,102.00000000000027,0.9914234906133098,63.101604278074866
25,7.0,5.0,2.0,419,71.59904534606206,-15.00000000000037,-0.03579952267303191,107.50000000000031,0.974789915966386,71.59904534606206
25,7.0,3.0,3.0,465,49.03225806451613,-26.878152155393085,-0.05780247775353352,84.00000000000017,0.9620567742333519,49.03225806451613
